# gas-exchange data from 1989 for ivy (Hedera helix var. canariensis)
# Pedro J. Aphalo
# see DOI:
# Q = PAR umol m-2 s-1
# A = NCE umol m-2 s-1
# Cs = CO2 at leaf surface umol/mol
# Ds = vapour preassure difference mesophyll to leaf surface
plant      Q       A      Ci      Cs      Ds
1       0.00   -0.33      NA  354.00   10.70
1       5.99    0.05  324.00  350.00   10.60
1      12.60    0.42  258.00  351.00   10.20
1      20.40    0.72  245.00  344.00   10.00
1      42.80    1.58  230.00  350.00   10.20
1     104.50    3.43  200.00  349.00   10.30
1     213.00    5.98  192.00  352.00    9.80
1     430.00    7.18  200.00  348.00    9.80
1     760.00    7.67  209.00  348.00   10.00
2       0.00   -0.35      NA  353.00   10.20
2       5.72   -0.01  344.00  349.00   10.00
2      11.70    0.44  319.00  356.00   10.20
2      19.40    0.64  311.00  350.00    9.90
2      42.50    1.55  288.00  348.00   10.10
2      89.90    3.42  260.00  347.00   10.20
2     212.00    5.82  236.00  344.00   10.20
2     442.00    6.79  242.00  355.00   10.10
2     759.00    6.64  250.00  355.00   10.30
3       0.00   -0.35      NA  354.00   11.10
3       6.19   -0.04  346.00  351.00   10.20
3      13.60    0.29  317.00  349.00   10.00
3      21.80    0.93  287.00  351.00   10.00
3      41.90    1.82  270.00  351.00   10.00
3      92.90    3.99  248.00  350.00    9.70
3     194.00    7.00  230.00  350.00   10.00
3     436.00    9.63  223.00  349.00    9.80
3     740.00   10.20  241.00  354.00    9.80
5       0.00   -0.42      NA  349.00   10.80
5       5.21    0.06  334.00  349.00   10.00
5      11.20    0.30  315.00  350.00   10.10
5      17.90    0.71  297.00  349.00    9.90
5      37.70    1.71  274.00  351.00   10.00
5      92.60    3.92  241.00  349.00   10.00
5     176.00    6.53  227.00  352.00    9.80
5     400.00    7.65  228.00  348.00    9.70
5     723.00    7.93  238.00  345.00    9.80
